source,source_record_id,record_type,family,given,name_display,dob_raw,sex_raw,address_raw,postcode_raw,phone_raw,nhs_number,uprn,payload_json
mcc_housing,T/88421/MCC,tenancy,HALE,M,M HALE,12/03/1959,,"18 BENGAL STREET, ANCOATS, MANCHESTER",M46LN,07700900441,,,"{""EXTRACT_ID"": ""HX-20260909-00018"", ""SOURCE_SYSTEM"": ""OrchardHousing"", ""EXTRACT_TS"": ""2026-09-09T22:14:03Z"", ""TENANCY_REF"": ""T/88421/MCC"", ""PROPERTY_REF"": ""P-ANC-01862"", ""TITLE"": """", ""SURNAME"": ""HALE"", ""FORENAME"": ""M"", ""DOB"": ""12/03/1959"", ""ADDR1"": ""18 BENGAL STREET"", ""ADDR2"": ""ANCOATS"", ""ADDR3"": ""MANCHESTER"", ""POSTCODE"": ""M46LN"", ""TENANCY_START"": ""03/11/2014"", ""TENANCY_TYPE"": ""INTRO/SECURE"", ""WEEKLY_RENT"": ""102.47"", ""ARREARS_WEEKS"": ""4"", ""ARREARS_BALANCE"": ""409.88"", ""LAST_HOUSING_OFFICER_VISIT"": ""20/08/2026"", ""VISIT_OUTCOME"": ""NO ACCESS - CARD LEFT"", ""VISIT_OFFICER"": ""K.BROWN"", ""ASB_CASES_OPEN"": ""1"", ""ASB_REF"": ""ASB/26/4419"", ""ASB_LAST_REPORTED"": ""02/09/2026"", ""ASB_NATURE"": ""NOISE / NEIGHBOUR COMPLAINT (PROPERTY)"", ""CONTACT_TEL"": ""07700900441"", ""NOTES"": ""Rent recovery stage 1. Officer visit 20/08 no reply. ASB logged against property not tenant as alleged perpetrator.""}"
mcc_housing,T/77102/MCC,tenancy,SMITH,JOHN,Mr JOHN SMITH,15/01/1978,,"9 BONSALL STREET, HULME, MANCHESTER",M15 6EE,0161 234 8801,,,"{""EXTRACT_ID"": ""HX-20260909-00019"", ""SOURCE_SYSTEM"": ""OrchardHousing"", ""EXTRACT_TS"": ""2026-09-09T22:14:03Z"", ""TENANCY_REF"": ""T/77102/MCC"", ""PROPERTY_REF"": ""P-HLM-00911"", ""TITLE"": ""Mr"", ""SURNAME"": ""SMITH"", ""FORENAME"": ""JOHN"", ""DOB"": ""15/01/1978"", ""ADDR1"": ""9 BONSALL STREET"", ""ADDR2"": ""HULME"", ""ADDR3"": ""MANCHESTER"", ""POSTCODE"": ""M15 6EE"", ""TENANCY_START"": ""01/04/2019"", ""TENANCY_TYPE"": ""SECURE"", ""WEEKLY_RENT"": ""118.20"", ""ARREARS_WEEKS"": ""0"", ""ARREARS_BALANCE"": ""0.00"", ""LAST_HOUSING_OFFICER_VISIT"": ""12/05/2026"", ""VISIT_OUTCOME"": ""COMPLETED"", ""VISIT_OFFICER"": ""R.PATEL"", ""ASB_CASES_OPEN"": ""0"", ""ASB_REF"": """", ""ASB_LAST_REPORTED"": """", ""ASB_NATURE"": "" "", ""CONTACT_TEL"": ""0161 234 8801"", ""NOTES"": """"}"
mcc_housing,T/19004/MCC,tenancy,SMITH,JOHN,Mr JOHN SMITH,03/11/1952,,"9 BONSALL COURT, HULME, MANCHESTER",M15 6EF,0161 234 7712,,,"{""EXTRACT_ID"": ""HX-20260909-00020"", ""SOURCE_SYSTEM"": ""OrchardHousing"", ""EXTRACT_TS"": ""2026-09-09T22:14:03Z"", ""TENANCY_REF"": ""T/19004/MCC"", ""PROPERTY_REF"": ""P-HLM-00940"", ""TITLE"": ""Mr"", ""SURNAME"": ""SMITH"", ""FORENAME"": ""JOHN"", ""DOB"": ""03/11/1952"", ""ADDR1"": ""9 BONSALL COURT"", ""ADDR2"": ""HULME"", ""ADDR3"": ""MANCHESTER"", ""POSTCODE"": ""M15 6EF"", ""TENANCY_START"": ""18/09/2008"", ""TENANCY_TYPE"": ""SECURE"", ""WEEKLY_RENT"": ""96.15"", ""ARREARS_WEEKS"": ""2"", ""ARREARS_BALANCE"": ""192.30"", ""LAST_HOUSING_OFFICER_VISIT"": ""03/07/2026"", ""VISIT_OUTCOME"": ""COMPLETED"", ""VISIT_OFFICER"": ""R.PATEL"", ""ASB_CASES_OPEN"": ""0"", ""ASB_REF"": """", ""ASB_LAST_REPORTED"": """", ""ASB_NATURE"": "" "", ""CONTACT_TEL"": ""0161 234 7712"", ""NOTES"": """"}"
mcc_housing,T/55218/MCC,tenancy,HALE,DANIEL,Mr DANIEL HALE,04/06/1992,,"41 WELLINGTON STREET, GORTON, MANCHESTER",M18 8WU,07700900441,,,"{""EXTRACT_ID"": ""HX-20260909-00021"", ""SOURCE_SYSTEM"": ""OrchardHousing"", ""EXTRACT_TS"": ""2026-09-09T22:14:03Z"", ""TENANCY_REF"": ""T/55218/MCC"", ""PROPERTY_REF"": ""P-GRT-00477"", ""TITLE"": ""Mr"", ""SURNAME"": ""HALE"", ""FORENAME"": ""DANIEL"", ""DOB"": ""04/06/1992"", ""ADDR1"": ""41 WELLINGTON STREET"", ""ADDR2"": ""GORTON"", ""ADDR3"": ""MANCHESTER"", ""POSTCODE"": ""M18 8WU"", ""TENANCY_START"": ""14/02/2021"", ""TENANCY_TYPE"": ""INTRODUCTORY"", ""WEEKLY_RENT"": ""127.80"", ""ARREARS_WEEKS"": ""11"", ""ARREARS_BALANCE"": ""1405.80"", ""LAST_HOUSING_OFFICER_VISIT"": ""01/03/2024"", ""VISIT_OUTCOME"": ""NO ACCESS"", ""VISIT_OFFICER"": ""J.SINGH"", ""ASB_CASES_OPEN"": ""0"", ""ASB_REF"": """", ""ASB_LAST_REPORTED"": """", ""ASB_NATURE"": "" "", ""CONTACT_TEL"": ""07700900441"", ""NOTES"": ""FORMER TENANCY. Evicted 18/04/2024 for rent arrears. Forwarding address unknown. Contact number retained.""}"
mcc_housing,T/66091/MCC,tenancy,RAHMAN,AISHA,Ms AISHA RAHMAN,22/07/1990,,"4 VARLEY STREET, MILES PLATTING, MANCHESTER",M40 7QW,07812 445901,,,"{""EXTRACT_ID"": ""HX-20260909-00022"", ""SOURCE_SYSTEM"": ""OrchardHousing"", ""EXTRACT_TS"": ""2026-09-09T22:14:03Z"", ""TENANCY_REF"": ""T/66091/MCC"", ""PROPERTY_REF"": ""P-MST-02104"", ""TITLE"": ""Ms"", ""SURNAME"": ""RAHMAN"", ""FORENAME"": ""AISHA"", ""DOB"": ""22/07/1990"", ""ADDR1"": ""4 VARLEY STREET"", ""ADDR2"": ""MILES PLATTING"", ""ADDR3"": ""MANCHESTER"", ""POSTCODE"": ""M40 7QW"", ""TENANCY_START"": ""09/01/2023"", ""TENANCY_TYPE"": ""SECURE"", ""WEEKLY_RENT"": ""110.00"", ""ARREARS_WEEKS"": ""0"", ""ARREARS_BALANCE"": ""0.00"", ""LAST_HOUSING_OFFICER_VISIT"": ""15/06/2026"", ""VISIT_OUTCOME"": ""COMPLETED"", ""VISIT_OFFICER"": ""K.BROWN"", ""ASB_CASES_OPEN"": ""0"", ""ASB_REF"": """", ""ASB_LAST_REPORTED"": """", ""ASB_NATURE"": "" "", ""CONTACT_TEL"": ""07812 445901"", ""NOTES"": """"}"
mcc_housing,T/41077/MCC,tenancy,OKONKWO,PETER,Mr PETER OKONKWO,30/09/1968,,"16 BENGAL STREET, ANCOATS, MANCHESTER",M4 6LN,07450 221198,,,"{""EXTRACT_ID"": ""HX-20260909-00023"", ""SOURCE_SYSTEM"": ""OrchardHousing"", ""EXTRACT_TS"": ""2026-09-09T22:14:03Z"", ""TENANCY_REF"": ""T/41077/MCC"", ""PROPERTY_REF"": ""P-ANC-01863"", ""TITLE"": ""Mr"", ""SURNAME"": ""OKONKWO"", ""FORENAME"": ""PETER"", ""DOB"": ""30/09/1968"", ""ADDR1"": ""16 BENGAL STREET"", ""ADDR2"": ""ANCOATS"", ""ADDR3"": ""MANCHESTER"", ""POSTCODE"": ""M4 6LN"", ""TENANCY_START"": ""21/08/2016"", ""TENANCY_TYPE"": ""SECURE"", ""WEEKLY_RENT"": ""102.47"", ""ARREARS_WEEKS"": ""0"", ""ARREARS_BALANCE"": ""0.00"", ""LAST_HOUSING_OFFICER_VISIT"": ""20/08/2026"", ""VISIT_OUTCOME"": ""COMPLETED"", ""VISIT_OFFICER"": ""K.BROWN"", ""ASB_CASES_OPEN"": ""1"", ""ASB_REF"": ""ASB/26/4419"", ""ASB_LAST_REPORTED"": ""02/09/2026"", ""ASB_NATURE"": ""COMPLAINANT - NOISE FROM 18 BENGAL ST"", ""CONTACT_TEL"": ""07450 221198"", ""NOTES"": ""Complainant on ASB/26/4419 (same block as T/88421/MCC).""}"
mcc_housing,T/88301/MCC,tenancy,PRICE,SUSAN,Mrs SUSAN PRICE,19/12/1955,,"72 FLAT 3 SALISBURY HOUSE, WYTHENSHAWE, MANCHESTER",M22 5RF,0161 498 2204,,,"{""EXTRACT_ID"": ""HX-20260909-00024"", ""SOURCE_SYSTEM"": ""OrchardHousing"", ""EXTRACT_TS"": ""2026-09-09T22:14:03Z"", ""TENANCY_REF"": ""T/88301/MCC"", ""PROPERTY_REF"": ""P-WYTH-01550"", ""TITLE"": ""Mrs"", ""SURNAME"": ""PRICE"", ""FORENAME"": ""SUSAN"", ""DOB"": ""19/12/1955"", ""ADDR1"": ""72 FLAT 3 SALISBURY HOUSE"", ""ADDR2"": ""WYTHENSHAWE"", ""ADDR3"": ""MANCHESTER"", ""POSTCODE"": ""M22 5RF"", ""TENANCY_START"": ""06/06/2001"", ""TENANCY_TYPE"": ""SECURE"", ""WEEKLY_RENT"": ""89.40"", ""ARREARS_WEEKS"": ""1"", ""ARREARS_BALANCE"": ""89.40"", ""LAST_HOUSING_OFFICER_VISIT"": ""11/08/2026"", ""VISIT_OUTCOME"": ""COMPLETED"", ""VISIT_OFFICER"": ""A.KHAN"", ""ASB_CASES_OPEN"": ""0"", ""ASB_REF"": """", ""ASB_LAST_REPORTED"": """", ""ASB_NATURE"": "" "", ""CONTACT_TEL"": ""0161 498 2204"", ""NOTES"": """"}"
mcc_housing,T/90112/MCC,tenancy,BRENNAN,C,C BRENNAN,14/08/1997,,"11 POLAND STREET, ANCOATS, MANCHESTER",M46BN,07700900882,,,"{""EXTRACT_ID"": ""HX-20260909-00025"", ""SOURCE_SYSTEM"": ""OrchardHousing"", ""EXTRACT_TS"": ""2026-09-09T22:14:03Z"", ""TENANCY_REF"": ""T/90112/MCC"", ""PROPERTY_REF"": ""P-ANC-02207"", ""TITLE"": """", ""SURNAME"": ""BRENNAN"", ""FORENAME"": ""C"", ""DOB"": ""14/08/1997"", ""ADDR1"": ""11 POLAND STREET"", ""ADDR2"": ""ANCOATS"", ""ADDR3"": ""MANCHESTER"", ""POSTCODE"": ""M46BN"", ""TENANCY_START"": ""19/01/2025"", ""TENANCY_TYPE"": ""INTRODUCTORY"", ""WEEKLY_RENT"": ""115.60"", ""ARREARS_WEEKS"": ""9"", ""ARREARS_BALANCE"": ""1040.40"", ""LAST_HOUSING_OFFICER_VISIT"": ""28/08/2026"", ""VISIT_OUTCOME"": ""NO ACCESS - CARD LEFT"", ""VISIT_OFFICER"": ""J.SINGH"", ""ASB_CASES_OPEN"": ""0"", ""ASB_REF"": """", ""ASB_LAST_REPORTED"": """", ""ASB_NATURE"": "" "", ""CONTACT_TEL"": ""07700900882"", ""NOTES"": ""NOSP served 15/08/2026. 9 weeks arrears. Introductory tenancy at risk. No reply to last two visits.""}"
mcc_housing,T/33008/MCC,tenancy,NWOSU,I,Mrs I NWOSU,02/01/1945,,"FLAT 7 30 REDHILL STREET, ANCOATS, MANCHESTER",M45AE,01612284401,,,"{""EXTRACT_ID"": ""HX-20260909-00026"", ""SOURCE_SYSTEM"": ""OrchardHousing"", ""EXTRACT_TS"": ""2026-09-09T22:14:03Z"", ""TENANCY_REF"": ""T/33008/MCC"", ""PROPERTY_REF"": ""P-ANC-00714"", ""TITLE"": ""Mrs"", ""SURNAME"": ""NWOSU"", ""FORENAME"": ""I"", ""DOB"": ""02/01/1945"", ""ADDR1"": ""FLAT 7 30 REDHILL STREET"", ""ADDR2"": ""ANCOATS"", ""ADDR3"": ""MANCHESTER"", ""POSTCODE"": ""M45AE"", ""TENANCY_START"": ""08/05/1999"", ""TENANCY_TYPE"": ""SECURE"", ""WEEKLY_RENT"": ""94.10"", ""ARREARS_WEEKS"": ""0"", ""ARREARS_BALANCE"": ""0.00"", ""LAST_HOUSING_OFFICER_VISIT"": ""04/09/2026"", ""VISIT_OUTCOME"": ""NO ACCESS - CARD LEFT"", ""VISIT_OFFICER"": ""K.BROWN"", ""ASB_CASES_OPEN"": ""0"", ""ASB_REF"": """", ""ASB_LAST_REPORTED"": """", ""ASB_NATURE"": "" "", ""CONTACT_TEL"": ""01612284401"", ""NOTES"": ""Long-term tenant. No arrears. Officer could not gain access. Neighbour had reported concern about not seeing her.""}"
gp_emis,pat-9434765919,patient,Hale,Maggie,Maggie Hale,1959-03-12,female,"18 Bengal Street, New Islington, Manchester",M4 6LN,07700 900441,9434765919,,"{""resourceType"": ""Patient"", ""id"": ""pat-9434765919"", ""identifier"": [{""system"": ""https://fhir.nhs.uk/Id/nhs-number"", ""value"": ""9434765919""}, {""system"": ""https://emis.com/Id/PatientNumber"", ""value"": ""EMIS-ANC-104882""}], ""name"": [{""use"": ""usual"", ""family"": ""Hale"", ""given"": [""Maggie""], ""prefix"": [""Mrs""]}, {""use"": ""old"", ""family"": ""Hale"", ""given"": [""Margaret""]}], ""gender"": ""female"", ""birthDate"": ""1959-03-12"", ""address"": [{""use"": ""home"", ""line"": [""18 Bengal Street"", ""New Islington""], ""city"": ""Manchester"", ""postalCode"": ""M4 6LN"", ""country"": ""GB""}], ""telecom"": [{""system"": ""phone"", ""value"": ""07700 900441"", ""use"": ""mobile""}], ""extension"": [{""url"": ""https://fhir.nhs.uk/StructureDefinition/Extension-household-status"", ""valueCodeableConcept"": {""coding"": [{""system"": ""http://snomed.info/sct"", ""code"": ""224137008"", ""display"": ""Lives alone""}]}}]}"
