EXTRACT_NAME,EXTRACT_DATE,ACCOUNT_REF,ACCOUNT_TYPE,ACCOUNT_NAME,ADDR_FULL,POSTCODE,FORWARD_DATE,BALANCE,IN_RECOVERY,RECOVERY_STAGE,ARRANGEMENT_FLAG,LAST_PAYMENT_DATE,LAST_PAYMENT_AMT,ENERGY_SUPPLIER_FLAG,ENERGY_DEBT_FLAG,ENERGY_DEBT_BAND,NIN_PRESENT,DOB_PRESENT,UPRN
MCC_REV_NIGHTLY,2026-09-09,CTAX-M4-882341,COUNCIL_TAX,HALE M,18 BENGAL ST ANCOATS MANCHESTER,M4 6LN,2014-11-03,614.22,Y,REMINDER_2,N,2026-04-12,52.00,Y,Y,£500-999,N,N,10093022184
MCC_REV_NIGHTLY,2026-09-09,CTAX-M15-119002,COUNCIL_TAX,SMITH J,9 BONSALL STREET HULME,M15 6EE,2019-04-01,0.00,N,NONE,N,2026-09-01,118.20,N,N,,N,N,10093088012
MCC_REV_NIGHTLY,2026-09-09,CTAX-M15-119887,COUNCIL_TAX,SMITH JOHN,9 BONSALL COURT HULME MANCHESTER,M15 6EF,2008-09-18,210.40,Y,FINAL_NOTICE,N,2026-06-20,40.00,N,N,,N,N,10093088055
MCC_REV_NIGHTLY,2026-09-09,CTAX-M18-441900,COUNCIL_TAX,HALE D,41 WELLINGTON ST GORTON,M18 8WU,2021-02-14,1888.10,Y,LIABILITY_ORDER,N,2023-11-02,20.00,Y,Y,£1000+,N,N,10093110220
MCC_REV_NIGHTLY,2026-09-09,CTAX-M40-330114,COUNCIL_TAX,RAHMAN A,4 VARLEY STREET MILES PLATTING,M40 7QW,2023-01-09,0.00,N,NONE,N,2026-09-05,110.00,N,N,,N,N,10093244109
MCC_REV_NIGHTLY,2026-09-09,CTAX-M22-778120,COUNCIL_TAX,PRICE S,FLAT 3 SALISBURY HOUSE WYTHENSHAWE,M22 5RF,2001-06-06,89.40,N,NONE,N,2026-08-28,89.40,Y,N,,N,N,10092881002
MCC_REV_NIGHTLY,2026-09-09,HEAT-ON-88421,DISTRICT_HEAT_RECHARGE,HALE M,18 BENGAL STREET,M46LN,2014-11-03,276.50,Y,STAGE_1,N,2026-03-03,15.00,Y,Y,£250-499,N,N,10093022184
MCC_REV_NIGHTLY,2026-09-09,CTAX-M4-990441,COUNCIL_TAX,BRENNAN C,11 POLAND ST ANCOATS,M4 6BN,2025-01-19,872.15,Y,FINAL_NOTICE,N,2026-02-02,20.00,Y,Y,£500-999,N,N,10093300118
MCC_REV_NIGHTLY,2026-09-09,HEAT-ON-90112,DISTRICT_HEAT_RECHARGE,BRENNAN C,11 POLAND STREET,M46BN,2025-01-19,198.00,Y,STAGE_1,N,2026-01-20,10.00,Y,Y,£100-249,N,N,10093300118
MCC_REV_NIGHTLY,2026-09-09,CTAX-M4-221008,COUNCIL_TAX,NWOSU I,FLAT 7 30 REDHILL STREET ANCOATS,M4 5AE,1999-05-08,0.00,N,NONE,N,2026-09-01,94.10,N,N,,N,N,10093411209
